Rank,Country,Human_development_index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_year_of_schooling,Gross_national_income,Gross_National_income_minus_HDI,HDI_rank,AverageHDI_1990_2019,Inequality_adjusted_life_expectancy_index,Inequality_in_education,Inequality_adjusted_education_index,Inequality_in_income,Inequality_adjusted_income_index,Gender_Development_Index,Estimated_gross_national_income_per_capita,Maternal_mortality_ratio_2017,Adolescent_birth_rate_2015_2020,Share_of_seats_in_parliament,Labour_force_partici_rate ,Total_population_M, POP_Urban,Under_5,Ages_15_64,Ages_65_and_older,Median_age_2020,Label,,
88,Azerbaijan,0.756,73.0,12.9,10.6,13784,3,88,..,0.702,5.3,0.673,8.9,0.678,0.943,8919,26,55.8,16.8,63.4,10.0,56.0,0.8,7.0,0.6,32.3,2,,
88,Dominican Republic,0.756,74.1,14.2,8.1,17591,-18,89,0.81,0.691,15.8,0.560,30.4,0.544,0.999,12449,95,94.3,24.3,51.4,10.7,81.8,1.0,7.0,0.8,28.0,2,,
90,Moldova (Republic of),0.750,71.9,11.5,11.7,13664,2,91,0.29,0.722,7.3,0.659,14.0,0.639,1.014,11994,19,22.4,25.7,40.5,4.0,42.7,0.2,2.9,0.5,37.6,2,,
91,Algeria,0.748,76.9,14.6,8.0,11174,13,91,0.93,0.752,33.7,0.445,11.4,0.631,0.858,3296,112,10.1,21.5,14.6,43.1,73.2,5.0,27.1,2.8,28.5,2,,
92,Lebanon,0.744,78.9,11.3,8.7,14655,-11,90,..,0.840,6.2,0.567,..,..,0.892,6078,29,14.5,4.7,22.9,6.9,88.8,0.6,4.6,0.5,29.6,2,,
93,Fiji,0.743,67.4,14.4,10.9,13009,1,93,0.40,0.621,..,..,..,..,..,8317,34,49.4,19.6,38.5,0.9,56.8,0.1,0.6,0.1,27.9,2,,
94,Dominica,0.742,78.2,13.0,8.1,11884,7,94,..,..,..,..,..,..,..,..,..,..,25.0,..,0.1,70.8,..,..,..,..,2,,
95,Maldives,0.740,78.9,12.2,7.0,17417,-24,98,..,0.852,29.3,0.405,25.8,0.578,0.923,7908,53,7.8,4.6,41.6,0.5,40.2,0.0,0.4,0.0,29.9,2,,
95,Tunisia,0.740,76.7,15.1,7.2,10414,14,94,0.92,0.794,30.7,0.458,16.9,0.583,0.900,4587,43,7.8,22.6,23.8,11.7,69.3,1.0,7.9,1.0,32.8,2,,
97,Saint Vincent and the Grenadines,0.738,72.5,14.1,8.8,12378,0,96,..,0.717,..,..,..,..,0.965,8880,68,49.0,13.0,54.4,0.1,52.6,0.0,0.1,0.0,32.9,2,,
97,Suriname,0.738,71.7,13.2,9.3,14324,-13,98,..,0.693,18.4,0.551,46.7,0.400,0.985,9504,120,61.7,31.4,38.8,0.6,66.1,0.1,0.4,0.0,29.0,2,,
99,Mongolia,0.737,69.9,14.2,10.3,10839,7,97,0.84,0.667,11.9,0.649,16.9,0.588,1.023,8756,45,31.0,17.3,53.3,3.2,68.5,0.4,2.1,0.1,28.2,2,,
100,Botswana,0.735,69.6,12.8,9.6,16437,-27,102,0.86,0.615,23.3,0.518,..,..,0.998,15276,144,46.1,10.8,65.4,2.3,70.2,0.3,1.4,0.1,24.0,2,,
101,Jamaica,0.734,74.5,13.1,9.7,9319,13,98,0.45,0.754,5.6,0.651,32.0,0.466,0.994,7501,80,52.8,19.0,59.8,2.9,56.0,0.2,2.0,0.3,30.7,2,,
102,Jordan,0.729,74.5,11.4,10.5,9858,8,103,0.53,0.750,15.4,0.564,17.9,0.569,0.875,3324,46,25.9,15.4,14.4,10.1,91.2,1.1,6.3,0.4,23.8,2,,
103,Paraguay,0.728,74.3,12.7,8.5,12224,-4,104,0.68,0.719,16.7,0.531,37.8,0.452,0.966,8855,84,70.5,16.8,59.2,7.0,61.9,0.7,4.5,0.5,26.3,2,,
104,Tonga,0.725,70.9,14.4,11.2,6365,25,105,0.36,0.702,4.5,0.740,..,..,0.950,4311,52,14.7,7.4,45.7,0.1,23.1,0.0,0.1,0.0,22.4,2,,
105,Libya,0.724,72.9,12.9,7.6,15688,-29,106,0.00,0.740,..,..,..,..,0.976,9249,72,5.8,16.0,33.9,6.8,80.4,0.6,4.6,0.3,28.8,2,,
106,Uzbekistan,0.720,71.7,12.1,11.8,7142,17,107,..,0.685,0.7,0.723,..,..,0.939,5064,29,23.8,16.4,52.4,33.0,50.4,3.4,22.0,1.5,27.8,2,,
107,Bolivia (Plurinational State of),0.718,71.5,14.2,9.0,8554,9,108,0.92,0.614,17.6,0.573,31.2,0.463,0.945,6481,155,64.9,51.8,63.2,11.5,69.8,1.2,7.1,0.8,25.6,2,,
107,Indonesia,0.718,71.7,13.6,8.2,11459,-4,110,1.10,0.685,16.2,0.545,23.1,0.551,0.940,7902,177,47.4,17.4,53.1,270.6,56.0,23.9,183.3,16.4,29.7,2,,
107,Philippines,0.718,71.2,13.1,9.4,9778,4,111,0.66,0.668,10.1,0.610,28.1,0.498,1.007,7843,121,54.2,28.0,46.1,108.1,47.1,10.8,69.4,5.7,25.7,2,,
110,Belize,0.716,74.6,13.1,9.9,6382,18,108,0.55,0.747,15.9,0.584,37.9,0.390,0.976,4896,36,68.5,11.1,49.9,0.4,45.9,0.0,0.3,0.0,25.5,2,,
111,Samoa,0.715,73.3,12.7,10.8,6309,19,113,0.42,0.738,4.9,0.678,..,..,..,4054,43,23.9,10.0,31.1,0.2,18.1,0.0,0.1,0.0,21.8,2,,
111,Turkmenistan,0.715,68.2,11.2,10.3,14909,-32,112,..,0.568,2.9,0.634,26.2,0.558,..,10493,7,24.4,25.0,51.4,5.9,52.0,0.7,3.8,0.3,26.9,2,,
113,Venezuela (Bolivarian Republic of),0.711,72.1,12.8,10.3,7045,11,101,0.34,0.664,8.8,0.638,25.2,0.481,1.009,5173,125,85.3,22.2,45.4,28.5,88.2,2.4,18.5,2.2,29.6,2,,
